student_id,age,gender,province,school_type,attendance_rate,assignment_avg_score,exam_avg_score,class_participation,homework_submission_rate,digital_learning_hours,extracurricular_participation,behavioral_engagement_score,at_risk,performance_label
S2287,8,0,Shanghai,Public,89.73877327872096,65.67310284865898,65.35765702107213,4.149658041732579,100.0,7.539508559908136,1.176971680236687,8.16886057001747,0,warning
S0461,18,1,Sichuan,Private,99.14335597648025,83.87582402049624,84.37243919925264,4.645042834651051,64.59551130219964,4.62418871291935,4.311543318594376,4.518268159713607,1,attention
S2331,22,1,Shanghai,Public,79.10690071751134,47.83520451375817,69.88552338193978,4.486423422973742,57.884211974310375,5.589226957873695,6.183086097482606,8.051258002259694,1,warning
S2457,6,1,Guangdong,Public,94.51283066648399,63.22530551334199,73.59671056144377,5.945831912677222,80.23620014345357,12.88664633311553,5.826886448659956,7.3054367399691165,0,attention
S1526,21,1,Sichuan,International,84.57803178150922,58.82429694991038,72.36739092263392,7.136574497451189,79.24018617852532,12.312775584389435,10.0,7.949372868010633,1,attention
S2295,9,1,Beijing,Public,98.91663469770879,93.75764323597197,37.964461098512594,5.693213477893265,92.27193223143468,1.096741111660683,7.417362588794923,6.075474136471753,1,pass
S1379,16,1,Shanghai,Public,67.61711658891956,70.72024894255559,50.69211430169204,5.6128299769264824,87.91996233654649,10.166557048379985,1.3437976443754729,7.517873292860096,1,warning
S1491,19,1,Guangdong,Private,100.0,69.33517274857846,78.98911989088062,7.076185473675409,100.0,10.243050403513326,4.5811615363882074,9.88456217776352,0,attention
S1781,8,1,Beijing,International,100.0,77.87380659590956,54.69514074727875,5.35118097108902,92.03553198507954,5.537732283023974,5.810392818453874,5.974864277630287,0,warning
S1389,11,1,Zhejiang,International,73.55008664508425,58.08234107336372,38.28828236552075,10.0,72.70236372320781,8.338455894271059,5.982416541985366,3.9131299489458526,1,pass
S2631,9,0,Guangdong,International,97.00652550026975,82.9942908152675,72.56062433889065,8.92872546072356,100.0,9.870525101130744,1.0472237935773645,8.57581207049233,0,attention
S0751,10,0,Sichuan,International,100.0,74.6079319608306,20.0,8.93685624981359,82.36998693737837,5.688525561920764,1.0221654679111962,9.324758446126992,1,fail
S1539,18,0,Zhejiang,Private,89.66293905337476,76.47086868701815,61.452319286858724,4.637227213198906,90.6860184475667,11.561806645450245,4.131130168557779,5.7554556361630755,0,warning
