student_id,age,gender,province,school_type,attendance_rate,assignment_avg_score,exam_avg_score,class_participation,homework_submission_rate,digital_learning_hours,extracurricular_participation,behavioral_engagement_score,at_risk,performance_label
S2287,8,0,Shanghai,Public,89.73877327872096,65.67310284865898,65.35765702107213,4.149658041732579,100.0,7.539508559908136,1.176971680236687,8.16886057001747,0,warning
S0461,18,1,Sichuan,Private,99.14335597648024,83.87582402049624,84.37243919925264,4.645042834651051,64.59551130219964,4.62418871291935,4.311543318594376,4.518268159713607,1,attention
S2331,22,1,Shanghai,Public,79.10690071751134,47.83520451375817,69.88552338193978,4.486423422973742,57.884211974310375,5.589226957873695,6.183086097482606,8.051258002259694,1,warning
S2457,6,1,Guangdong,Public,94.512830666484,63.22530551334199,73.59671056144377,5.945831912677222,80.23620014345357,12.88664633311553,5.826886448659956,7.3054367399691165,0,attention
S1526,21,1,Sichuan,International,84.57803178150922,58.82429694991038,72.36739092263392,7.136574497451189,79.24018617852532,12.312775584389437,10.0,7.949372868010633,1,attention
S2295,9,1,Beijing,Public,98.9166346977088,93.75764323597195,37.964461098512594,5.693213477893265,92.27193223143468,1.096741111660683,7.417362588794923,6.075474136471753,1,pass
S1379,16,1,Shanghai,Public,67.61711658891956,70.72024894255559,50.69211430169204,5.612829976926482,87.91996233654649,10.166557048379984,1.3437976443754729,7.517873292860096,1,warning
S1491,19,1,Guangdong,Private,100.0,69.33517274857846,78.98911989088062,7.076185473675409,100.0,10.243050403513326,4.581161536388208,9.88456217776352,0,attention
S1781,8,1,Beijing,International,100.0,77.87380659590956,54.69514074727875,5.35118097108902,92.03553198507954,5.537732283023974,5.810392818453874,5.974864277630287,0,warning
S1389,11,1,Zhejiang,International,73.55008664508425,58.08234107336372,38.28828236552075,10.0,72.70236372320781,8.338455894271059,5.982416541985366,3.9131299489458526,1,pass
S2631,9,0,Guangdong,International,97.00652550026976,82.9942908152675,72.56062433889065,8.92872546072356,100.0,9.870525101130744,1.0472237935773645,8.57581207049233,0,attention
S0751,10,0,Sichuan,International,100.0,74.6079319608306,20.0,8.93685624981359,82.36998693737837,5.688525561920764,1.0221654679111962,9.324758446126992,1,fail
S1539,18,0,Zhejiang,Private,89.66293905337476,76.47086868701815,61.45231928685872,4.637227213198906,90.6860184475667,11.561806645450243,4.131130168557779,5.755455636163076,0,warning
S2486,22,0,Shanghai,Public,91.64401746156312,85.29189951336356,78.48863737561797,5.717371249525607,80.86162514429768,4.51553285908491,1.6810355103374768,5.113872787447848,0,attention
S0966,11,1,Shanghai,International,98.55539949253128,67.93988645611294,69.92764098862251,7.128733694282581,99.43501391317648,9.279101900232185,5.684111216582842,6.549397070630829,0,warning
S1792,15,1,Shandong,International,79.37621032920518,92.06247454255892,45.96114935523459,8.19475863918192,89.36776672707464,8.727961302472965,1.1649501506080575,9.268171860385824,1,pass
S1378,19,0,Shanghai,Private,97.01109124798477,86.32299299660133,83.9168583400514,8.036995683466571,74.3188582852602,7.919744119793382,4.736985602841694,2.678353955607033,1,attention
S1364,12,0,Sichuan,International,78.60794828382667,42.78163954141704,57.16223250716604,6.555099377918293,86.09966025682243,8.594364289388162,6.724289104218856,5.9779527037144415,1,warning
S0076,6,1,Jiangsu,Private,89.7150847234016,78.31634055538055,88.78174511031992,6.427221309534447,67.11828331339382,7.387876952310168,6.831762787336176,6.257891338666446,0,fail
S0721,15,0,Jiangsu,Public,84.4593220257109,63.27469317610429,100.0,4.423720203520452,100.0,10.457086230434124,0.0,9.005058042278606,0,fail
S2699,11,1,Jiangsu,International,95.54426726507728,57.90828873711679,88.65872657936731,4.518855817700761,81.22532667826063,16.98788963390482,5.566832542190868,6.325828327332294,1,normal
